ID,Specialty,Theme,Article,German,Vietnamese,Example_DE,Example_VI,Level
"pflege-patient","pflege","grundpflege","der","Pflegebedürftige","người cần được chăm sóc","Der Pflegebedürftige braucht Hilfe beim Aufstehen.","Người cần chăm sóc cần được giúp khi đứng dậy.","B1"
"pflege-koerperpflege","pflege","grundpflege","die","Körperpflege","vệ sinh thân thể","Die Körperpflege gehört zur täglichen Grundpflege.","Vệ sinh thân thể thuộc chăm sóc cơ bản hằng ngày.","A2"
"pflege-mobilisation","pflege","grundpflege","die","Mobilisation","vận động, hỗ trợ di chuyển","Wir planen die Mobilisation nach dem Frühstück.","Chúng tôi lên kế hoạch hỗ trợ vận động sau bữa sáng.","B1"
"pflege-lagerung","pflege","grundpflege","die","Lagerung","đặt tư thế cho bệnh nhân","Eine regelmäßige Lagerung schützt die Haut.","Đổi tư thế đều đặn giúp bảo vệ da.","B1"
"pflege-pflegeplan","pflege","grundpflege","der","Pflegeplan","kế hoạch chăm sóc","Alle Maßnahmen stehen im Pflegeplan.","Mọi biện pháp đều được ghi trong kế hoạch chăm sóc.","B2"
"pflege-herz","pflege","anatomie","das","Herz","tim","Das Herz pumpt Blut durch den Körper.","Tim bơm máu đi khắp cơ thể.","A2"
"pflege-lunge","pflege","anatomie","die","Lunge","phổi","Die Lunge versorgt den Körper mit Sauerstoff.","Phổi cung cấp oxy cho cơ thể.","A2"
"pflege-kreislauf","pflege","anatomie","der","Blutkreislauf","hệ tuần hoàn máu","Bewegung unterstützt den Blutkreislauf.","Vận động hỗ trợ hệ tuần hoàn máu.","B1"
"pflege-wirbelsaeule","pflege","anatomie","die","Wirbelsäule","cột sống","Beim Heben muss die Wirbelsäule geschützt werden.","Khi nâng đỡ cần bảo vệ cột sống.","B1"
"pflege-schwindel","pflege","symptome","der","Schwindel","chóng mặt","Die Patientin klagt über Schwindel.","Bệnh nhân nữ than phiền bị chóng mặt.","B1"
"pflege-atemnot","pflege","symptome","die","Atemnot","khó thở","Bei akuter Atemnot rufen wir sofort den Arzt.","Khi khó thở cấp tính, chúng tôi gọi bác sĩ ngay.","B2"
"pflege-uebelkeit","pflege","symptome","die","Übelkeit","buồn nôn","Seit dem Morgen hat er Übelkeit.","Từ sáng anh ấy bị buồn nôn.","B1"
"pflege-schwellung","pflege","symptome","die","Schwellung","chỗ sưng","Am linken Fuß ist eine Schwellung sichtbar.","Có thể thấy chỗ sưng ở bàn chân trái.","B1"
"pflege-desinfektion","pflege","hygiene","die","Händedesinfektion","khử khuẩn tay","Vor dem Patientenkontakt ist die Händedesinfektion Pflicht.","Phải khử khuẩn tay trước khi tiếp xúc bệnh nhân.","B1"
"pflege-handschuhe","pflege","hygiene","die","Einmalhandschuhe","găng tay dùng một lần","Für den Verbandwechsel trage ich Einmalhandschuhe.","Tôi đeo găng dùng một lần khi thay băng.","A2"
"pflege-verband","pflege","hygiene","der","Verbandwechsel","thay băng","Der Verbandwechsel wird steril durchgeführt.","Việc thay băng được thực hiện vô khuẩn.","B2"
"pflege-infektion","pflege","hygiene","die","Infektion","nhiễm trùng","Die Wunde zeigt keine Zeichen einer Infektion.","Vết thương không có dấu hiệu nhiễm trùng.","B1"
"pflege-uebergabe","pflege","kommunikation","die","Übergabe","bàn giao ca","Bei der Übergabe berichten wir über Veränderungen.","Khi bàn giao ca, chúng tôi báo cáo các thay đổi.","B1"
"pflege-einwilligung","pflege","kommunikation","die","Einwilligung","sự đồng ý","Vor der Maßnahme brauchen wir Ihre Einwilligung.","Trước khi thực hiện, chúng tôi cần sự đồng ý của ông/bà.","B2"
"pflege-beruhigen","pflege","kommunikation","","beruhigen","trấn an","Die Pflegekraft beruhigt den aufgeregten Patienten.","Điều dưỡng trấn an bệnh nhân đang lo lắng.","B1"
"koch-brett","koch","kueche","das","Schneidebrett","thớt","Für rohes Fleisch benutzen wir ein separates Schneidebrett.","Chúng tôi dùng thớt riêng cho thịt sống.","A2"
"koch-schneebesen","koch","kueche","der","Schneebesen","cây đánh trứng","Schlage die Sauce mit dem Schneebesen glatt.","Đánh sốt cho mịn bằng cây đánh trứng.","A2"
"koch-topf","koch","kueche","der","Kochtopf","nồi nấu","Der Kochtopf steht auf der hinteren Platte.","Nồi đang đặt trên bếp phía sau.","A2"
"koch-sieb","koch","kueche","das","Sieb","rây, rá lọc","Gieß die Nudeln durch das Sieb ab.","Đổ mì qua rá để chắt nước.","A2"
"koch-backofen","koch","kueche","der","Backofen","lò nướng","Heize den Backofen auf 180 Grad vor.","Làm nóng lò trước ở 180 độ.","A2"
"koch-bruehe","koch","zutaten","die","Brühe","nước dùng","Die Gemüsebrühe muss langsam köcheln.","Nước dùng rau củ cần sôi liu riu.","B1"
"koch-petersilie","koch","zutaten","die","Petersilie","rau mùi tây","Hacke die Petersilie kurz vor dem Servieren.","Băm mùi tây ngay trước khi phục vụ.","A2"
"koch-sahne","koch","zutaten","die","Sahne","kem tươi","Zum Schluss geben wir etwas Sahne dazu.","Cuối cùng chúng ta thêm một ít kem tươi.","A2"
"koch-gewuerz","koch","zutaten","das","Gewürz","gia vị","Dieses Gewürz passt gut zu Fisch.","Gia vị này rất hợp với cá.","B1"
"koch-wuerfeln","koch","zubereitung","","würfeln","cắt hạt lựu","Bitte die Zwiebeln fein würfeln.","Vui lòng cắt hành tây hạt lựu nhỏ.","B1"
"koch-duensten","koch","zubereitung","","dünsten","om, hấp nhẹ","Das Gemüse wird in wenig Flüssigkeit gedünstet.","Rau được om với ít chất lỏng.","B1"
"koch-abschmecken","koch","zubereitung","","abschmecken","nêm nếm","Schmecke die Suppe mit Salz und Pfeffer ab.","Nêm món súp với muối và tiêu.","B1"
"koch-anrichten","koch","zubereitung","","anrichten","trình bày món ăn","Wir richten den Hauptgang auf warmen Tellern an.","Chúng tôi trình bày món chính trên đĩa ấm.","B2"
